野司马昭,贾充,王元姬,晋司马懿,魏司马懿,,,,,
野司马伦,孙秀,孟观,,,,,,,
野刘焉,董扶,,,,,,,,
野钟会,姜维,,,,,,,,
野曹爽,夏侯玄,,,,,,,,
野孙綝,孙峻,,,,,,,,
鲍信,于禁,,,,,,,,
刘基,孙权,,,,,,,,
刘协,伏皇后,董承,曹节,董贵人,曹宪_曹华,,,,
刘辩,唐姬,,,,,,,,
刘宏,张让,王荣,何皇后,盖勋,,,,,
张让,段珪,,,,,,,,
何进,吴匡,,,,,,,,
王允,貂蝉,,,,,,,,
蔡邕,马日磾,董卓,蔡文姬,,,,,,
皇甫嵩,郭典,,,,,,,,
朱儁,皇甫嵩,孙坚,,,,,,,
卢植,蔡邕,皇甫嵩,,,,,,,
刘宠,骆俊,,,,,,,,
刘繇,许劭,,,,,,,,
吉平,金祎,,,,,,,,
刘虞,阎柔,,,,,,,,
赵忠,刘宏,张让,,,,,,,
孔融,太史慈,,,,,,,,
杨奉_韩暹,李乐,徐晃,,,,,,,
段煨,裴茂,,,,,,,,
田畴,刘虞,夏侯惇,,,,,,,
邹靖,公孙瓒,,,,,,,,
袁隗,马伦,,,,,,,,
董扶,刘焉,,,,,,,,
皇甫规,马夫人,,,,,,,,
史子眇,刘辩,刘宏,,,,,,,
刘和,鲜于银,阎柔,,,,,,,
鲍鸿,蹇硕,张温,张温,,,,,,
陈蕃,窦武,,,,,,,,
鲜于银,田畴,阎柔,,,,,,,
徐岳,阚泽,,,,,,,,
封谞,马元义,,,,,,,,
郗虑,华歆,,,,,,,,
张纮,陈琳,孙策,张昭,,,,,,
刘渊,呼延氏,,,,,,,,
刘氏,李密,,,,,,,,
阮籍,王戎,,,,,,,,
杜轸,牵弘,,,,,,,,
司马昭,贾充,王元姬,晋司马懿,魏司马懿,,,,,
顾荣,周玘,,,,,,,,
司马炎,张华,杨艳_杨芷,羊琇,胡芳,,,,,
司马师,夏侯徽,羊徽瑜,傅嘏,,,,,,
司马昭,贾充,王元姬,,,,,,,
贾充,荀勖,,,,,,,,
羊祜,杜预,王濬,,,,,,,
杜预,司马萱,,,,,,,,
晋司马懿,张春华,柏灵筠,蒋济,,,,,,
张春华,魏司马懿,,,,,,,,
石苞,陈骞,,,,,,,,
王浑,钟琰,,,,,,,,
贾南风,司马衷,程据,,,,,,,
裴楷,王戎,,,,,,,,
陆机_陆云,周处,,,,,,,,
司马伦,孙秀,孟观,,,,,,,
司马衷,羊献容,谢玖,,,,,,,
司马颖,卢志,,,,,,,,
冯紞,贾充,荀勖,,,,,,,
柏灵筠,魏司马懿,,,,,,,,
祖逖,刘琨,,,,,,,,
杨稷,毛炅,,,,,,,,
公孙瓒,严纲,,,,,,,,
刘表,蔡夫人,蒯良,蒯越,黄祖,诸葛玄,,,,
张鲁,阎圃,,,,,,,,
华佗,吴普,,,,,,,,
吕布,貂蝉,李肃,严夫人,张辽,,,,,
袁绍,颜良_文丑,刘夫人,曹操,,,,,,
董卓,李儒,董白,徐荣,,,,,,
贾诩,李傕,张绣,曹丕,,,,,,
左慈,葛玄,,,,,,,,
张角,张宝_张梁,,,,,,,,
马腾,韩遂,,,,,,,,
纪灵,袁术,,,,,,,,
潘凤,韩馥,,,,,,,,
邹氏,曹操,,,,,,,,
李傕,郭氾,,,,,,,,
张任,刘璋,,,,,,,,
韩遂,成公英,马超,,,,,,,
郭图_逄纪,三次袁,,,,,,,,
兀突骨,孟获,,,,,,,,
卑弥呼,难升米,,,,,,,,
祢衡,孔融,杨修,,,,,,,
三次袁,辛评,甄姬,,,,,,,
王粲,曹丕,,,,,,,,
张琪瑛,马超,,,,,,,,
高览,张郃,,,,,,,,
彻里吉,雅丹,,,,,,,,
木鹿大王,孟获,,,,,,,,
刘琮,蔡瑁_张允,,,,,,,,
张轨,皇甫谧,北宫纯,,,,,,,
张松,法正,,,,,,,,
陈兰,雷薄,,,,,,,,
雍闿,孟获,,,,,,,,
糜竺,孙乾,,,,,,,,
李严,费观,,,,,,,,
严颜,张飞,黄忠,,,,,,,
董和,丞相诸葛亮,卧龙诸葛亮,,,,,,,
夏侯霸,姜维,,,,,,,,
刘备,关羽,张飞,丞相诸葛亮,卧龙诸葛亮,甘夫人,糜夫人,法正,吴苋,孙尚香
关羽,廖化,张辽,徐晃,,,,,,
张飞,关羽,赵云,夏侯涓,,,,,,
丞相诸葛亮,黄月英,姜维,蒋琬,费祎,,,,,
赵云,刘禅,马云騄,樊玉凤,周夷,,,,,
马超,马岱,,,,,,,,
黄忠,魏延,,,,,,,,
魏延,吴懿,,,,,,,,
庞统,徐庶,周瑜,鲁肃,,,,,,
卧龙诸葛亮,黄月英,庞统,徐庶,马良,,,,,
姜维,诸葛果,,,,,,,,
刘禅,黄皓,张星彩,,,,,,,
孟获,祝融夫人,,,,,,,,
费祎,王平,董允,,,,,,,
马谡,向朗,,,,,,,,
廖化,张翼,宗预,,,,,,,
张嶷,马忠,,,,,,,,
关索,花鬘,吕凯,鲍三娘,,,,,,
夏侯岚,关银屏,张星彩,,,,,,,
钟会,司马师,姜维,,,,,,,
孟达,法正,夏侯尚,,,,,,,
文钦,毌丘俭,,,,,,,,
曹操,许褚,郭嘉,典韦,卞夫人,,,,,
魏司马懿,曹丕,蒋济,,,,,,,
夏侯惇,夏侯渊,,,,,,,,
张辽,臧霸,,,,,,,,
甄姬,曹丕,,,,,,,,
曹仁,曹洪,满宠,,,,,,,
典韦,曹昂,,,,,,,,
荀彧,程昱,,,,,,,,
曹丕,崔琰,陈群,辛毗,郭女王,夏侯尚,,,,
乐进,李典,,,,,,,,
荀攸,伍琼_种辑,荀彧,钟繇,,,,,,
崔琰,毛玠,,,,,,,,
曹植,杨修,,,,,,,,
曹彰,田豫,,,,,,,,
王异,赵昂,,,,,,,,
曹叡,郭太后,毌丘俭,秦朗,曹肇,,,,,
钟繇,张昌蒲,,,,,,,,
陈琳,张纮,,,,,,,,
王朗,华歆,,,,,,,,
曹爽,夏侯玄,,,,,,,,
贾逵,王凌,,,,,,,,
赵俨,杜袭,,,,,,,,
何晏,野曹爽,曹爽,夏侯玄,,,,,,
杨阜,天水四侠,,,,,,,,
牵招,刘备,田豫,,,,,,,
是仪,孙登,,,,,,,,
吾彦,陆抗,,,,,,,,
苏飞,甘宁,,,,,,,,
杜契,孙寒华,,,,,,,,
孙权,吕蒙,周泰,鲁肃,诸葛瑾,步练师,袁姬,,,
黄盖,周瑜,阚泽,,,,,,,
周瑜,小乔,鲁肃,,,,,,,
大乔,小乔,,,,,,,,
孙坚,吴国太,祖茂,吴景,,,,,,
孙策,周瑜,大乔,太史慈,张纮,吕范,,,,
周泰,蒋钦,,,,,,,,
张昭,张纮,,,,,,,,
丁奉,徐盛,孙休,诸葛恪,,,,,,
诸葛瑾,步骘,,,,,,,,
陆抗,陆凯,,,,,,,,
凌统,孙权,甘宁,,,,,,,
吕范,朱治,,,,,,,,
孙翊,徐氏,,,,,,,,
程普,周瑜,孙策,,,,,,,
韩当,黄盖,程普,,,,,,,
朱然,孙权,吕蒙,,,,,,,
顾雍,蔡邕,张昭,,,,,,,
孙鲁班,全琮,孙峻,,,,,,,
孙休,濮阳兴,朱佩兰,,,,,,,
岑昏,孙皓,,,,,,,,
孙鲁育,朱据,,,,,,,,
孙皓,张嫙_张媱,滕芳兰,,,,,,,
严畯,诸葛瑾,步骘,,,,,,,
滕胤,吕据,,,,,,,,
孙峻,孙綝,,,,,,,,
吕据,朱异,,,,,,,,
孟干,杨稷,毛炅,,,,,,,
